mz,MSS1a.mzML,MSS2a.mzML,MSS3a.mzML,MSS4a.mzML,MSS5a.mzML,MSS5a1.mzML,MSS5a2.mzML,MSS5a3.mzML,MSS6a.mzML,MSS13a.mzML,MSS13a1.mzML,MSS13a2.mzML,MSS13a3.mzML,MSS1b.mzML,MSS2b.mzML,MSS3b.mzML,MSS4b.mzML,MSS5b.mzML,MSS5b1.mzML,MSS5b2.mzML,MSS5b3.mzML,MSS6b.mzML,MSS13b.mzML,MSS13b1.mzML,MSS13b2.mzML,MSS13b3.mzML,MSS10a.mzML,MSS11a.mzML,MSS11a1.mzML,MSS11a2.mzML,MSS11a3.mzML,MSS14a.mzML,MSS14a1.mzML,MSS14a2.mzML,MSS14a3.mzML,MSS10b.mzML,MSS11b.mzML,MSS11b1.mzML,MSS11b2.mzML,MSS11b3.mzML,MSS14b.mzML,MSS14b1.mzML,MSS14b2.mzML,MSS14b3.mzML,n_blank,pval,qval
283.1177664655883,17904138.0,4491377.5,6970710.5,1468423.0,998724.8125,nan,nan,nan,3898308.0,8063110.5,11328877.0,2014400.875,1324057.25,2145259.25,5244698.0,2603698.5,770341.0,1031481.4375,932458.375,nan,559907.125,4656314.0,9339894.0,3469437.0,1763680.875,5730037.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.2225689392019567e-12,6.4193573268902976e-09
349.0602078719774,593807.1875,577768.0,5203466.0,1670723.625,2316666.75,nan,286682.3125,703877.3125,693448.5,813925.0625,589392.8125,330568.1875,204185.328125,274382.96875,445236.0,175114.515625,639476.625,189150.921875,470162.25,8528.0087890625,350285.78125,246790.171875,621469.75,133058.3125,70040.7265625,239094.578125,nan,nan,nan,nan,nan,177065.40625,nan,nan,nan,nan,103793.75,nan,nan,nan,261175.921875,nan,nan,nan,0,1.0229863951716336e-11,1.0188944495909471e-08
284.12135756014277,2531912.0,4825825.5,1337776.5,234524.21875,nan,nan,nan,nan,592841.25,3459796.25,3548193.5,858694.0,962739.5625,358350.125,865183.4375,439170.875,134999.5,170913.40625,156058.59375,nan,108184.40625,650619.9375,1427305.25,509133.59375,287434.25,853423.6875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.4840560337307651e-10,9.8541320639722803e-08
328.0816241530182,3067812.25,2349066.0,1977519.125,1978455.875,1006347.8125,nan,nan,324800.9375,1048241.3125,1313375.875,459583.0,nan,280761.71875,1375784.75,3529078.25,740912.125,879333.5,1826582.625,907917.5625,6161.23583984375,549004.0625,1918819.375,1038083.375,229098.75,nan,379570.0,nan,nan,nan,nan,nan,248460.359375,nan,nan,nan,nan,nan,nan,nan,nan,280004.78125,nan,nan,nan,0,1.6367884731524944e-08,8.1512065962994217e-06
207.06541002325974,7593762.5,1958845.375,2939403.0,654835.0,nan,nan,nan,nan,1653444.0,4397485.0,5244900.5,992635.125,766887.25,936906.6875,2567199.0,1222909.25,nan,nan,468879.09375,nan,267088.15625,2030911.625,4970415.0,1725228.125,868557.3125,2869356.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.7843912062085208e-08,1.1093014565534746e-05
327.0082160428099,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,543459.5625,nan,nan,425841.0,775241.6875,697751.3125,783821.0625,nan,nan,579997.0625,532045.75,629940.5625,526827.5,658431.3125,718363.5,570400.9375,nan,nan,553332.8125,184872.296875,10,3.2373987879331851e-08,1.0748163975938174e-05
223.0966966238663,4138179.0,12514024.0,2550658.75,2651010.5,1738094.75,321482.71875,485480.03125,478644.65625,1212319.625,913234.125,836853.1875,440661.4375,425692.21875,1641822.75,7543806.0,1228325.75,1629842.375,1335307.875,1060274.875,nan,793998.0625,1853309.125,857374.5625,534061.0625,303784.34375,554364.375,nan,166163.234375,nan,nan,nan,444363.84375,nan,nan,nan,227642.53125,157220.90625,nan,nan,nan,303584.0,nan,171218.859375,nan,3,4.5345583313026635e-08,1.2904057422792723e-05
404.2200098980612,1592478.875,1653340.875,563296.4375,1049032.625,783149.0625,2040166.625,558675.125,388618.8125,1371763.5,794061.0625,547568.625,488802.1875,287620.78125,1966230.625,2129543.5,843102.625,801741.6875,1955019.125,948513.0,8885.62109375,238239.390625,1912702.0,518541.3125,661504.0,188906.078125,411236.46875,242763.0,480533.03125,nan,nan,nan,695220.125,nan,nan,nan,1317404.375,nan,nan,nan,266714.15625,547215.6875,nan,nan,331695.21875,7,1.1833882548779704e-07,2.9466367546461462e-05
208.0687948897043,887993.375,251516.828125,386546.15625,78237.6640625,nan,nan,nan,nan,188802.8125,528074.375,651296.375,124680.359375,128329.53125,130680.421875,340214.40625,136364.09375,nan,78511.4609375,nan,nan,nan,297496.40625,642525.375,271775.34375,112375.2421875,373341.125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.0530469952907967e-07,4.5440773495769631e-05
256.17553823766843,543477.0,52667472.0,274428.71875,2959480.75,1632418.375,470848.71875,1643186.75,1843641.125,3710601.25,nan,nan,159474.671875,8595988.0,4058778.75,1686497.5,1724264.625,46177.78125,355168.75,2472845.25,nan,133920.4375,2573336.25,nan,363791.5,778310.1875,11269625.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,421637.71875,nan,53281.2734375,3030805.25,nan,7,3.2015961554951623e-07,6.377579541746363e-05
