mz,MSS1a.mzML,MSS2a.mzML,MSS3a.mzML,MSS4a.mzML,MSS5a.mzML,MSS5a1.mzML,MSS5a2.mzML,MSS5a3.mzML,MSS6a.mzML,MSS13a.mzML,MSS13a1.mzML,MSS13a2.mzML,MSS13a3.mzML,MSS1b.mzML,MSS2b.mzML,MSS3b.mzML,MSS4b.mzML,MSS5b.mzML,MSS5b1.mzML,MSS5b2.mzML,MSS5b3.mzML,MSS6b.mzML,MSS13b.mzML,MSS13b1.mzML,MSS13b2.mzML,MSS13b3.mzML,MSS10a.mzML,MSS11a.mzML,MSS11a1.mzML,MSS11a2.mzML,MSS11a3.mzML,MSS14a.mzML,MSS14a1.mzML,MSS14a2.mzML,MSS14a3.mzML,MSS10b.mzML,MSS11b.mzML,MSS11b1.mzML,MSS11b2.mzML,MSS11b3.mzML,MSS14b.mzML,MSS14b1.mzML,MSS14b2.mzML,MSS14b3.mzML,n_blank,pval,qval
327.0082160428099,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,543459.5625,nan,nan,425841.0,775241.6875,697751.3125,783821.0625,nan,nan,579997.0625,532045.75,629940.5625,526827.5,658431.3125,718363.5,570400.9375,nan,nan,553332.8125,184872.296875,10,1.5145700653308463e-07,0.00024854094772079187
294.20662851302734,86121.0,127960.1015625,42874.4453125,139360.140625,nan,188588.296875,179528.03125,146238.84375,77050.8359375,45430.90625,155148.875,100804.578125,94820.875,151835.296875,164162.9375,102929.796875,101972.875,140295.421875,199523.890625,nan,123882.125,157012.328125,nan,136935.296875,nan,109739.4921875,nan,nan,nan,nan,nan,nan,nan,nan,nan,79681.3515625,39458.375,nan,72321.921875,nan,nan,nan,39290.921875,nan,9,2.1778226697921511e-07,0.000178690350056446
210.1701664222672,430789.21875,462090.96875,244350.984375,366620.625,300844.59375,265394.75,233418.375,187528.234375,299717.4375,185580.8125,225634.09375,251479.21875,185896.265625,458399.3125,445511.75,406416.8125,328134.0,422174.84375,265577.90625,nan,233322.359375,416365.375,163680.125,218098.78125,163829.390625,199432.0625,nan,140979.9375,161959.1875,136849.25,nan,223890.765625,nan,nan,nan,158871.625,140880.5625,101382.03125,134926.0625,128259.9765625,153534.15625,nan,174786.453125,nan,9,2.8900121916681391e-07,0.0001580836668842472
327.17593850563134,nan,nan,nan,nan,nan,nan,687247.5625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,124359.6796875,nan,668095.4375,1239575.875,488726.5625,690605.625,1076985.625,nan,1434863.375,1555561.5,1354351.75,383926.96875,901649.3125,184355.296875,266468.15625,222968.140625,nan,nan,382029.40625,819501.5,2,6.9167351577965745e-07,0.00028375905984860444
186.14906277482754,322918.25,329945.3125,210314.953125,305290.96875,nan,259035.828125,224460.84375,172521.59375,242503.28125,134754.5625,200820.0,155339.3125,172825.15625,338399.0,310343.8125,296859.71875,285688.9375,316537.46875,193230.546875,nan,205188.15625,337908.90625,130559.21875,188615.890625,120746.6171875,141325.5,nan,116517.609375,115354.3828125,nan,nan,143640.875,nan,nan,nan,149908.140625,126101.3515625,88312.6484375,119656.9375,123932.609375,126019.25,nan,112842.7109375,nan,9,9.6540596104927066e-07,0.00031684623641637066
330.33694013673687,308182.625,333131.84375,229202.21875,328971.15625,289085.6875,175371.5,214196.40625,180086.46875,338783.09375,115149.515625,174022.265625,166504.8125,110471.8125,326487.5,323726.3125,405188.5625,290268.46875,402927.15625,208584.359375,nan,183882.59375,378852.9375,152068.03125,169491.59375,78391.578125,166809.109375,nan,119431.7421875,126920.6640625,90422.96875,nan,131096.765625,nan,nan,nan,138301.40625,120603.46875,82243.4140625,152646.59375,107172.9296875,123858.9921875,nan,141208.828125,nan,9,1.0818861774587455e-06,0.00029589586953496688
280.16266078062125,337363.40625,391757.25,296922.21875,345838.40625,285173.96875,403128.3125,324164.90625,320397.15625,250826.125,386574.53125,299978.5,408211.71875,301815.125,356047.5,465955.09375,251718.75,227910.171875,596991.0625,491192.90625,nan,315218.09375,416494.59375,350852.96875,301563.90625,219605.640625,274527.625,nan,219218.171875,232972.78125,203997.328125,173308.75,241677.015625,125224.7265625,nan,nan,244126.953125,209702.59375,190225.671875,253370.15625,214647.5625,276690.21875,nan,234593.171875,nan,10,3.8256638895668356e-06,0.00089684492039702524
462.14705688129624,577606.25,562545.4375,397891.78125,566813.6875,488332.625,505607.78125,584349.3125,469719.46875,471418.5,266584.875,501602.0625,438428.0625,322825.40625,715268.125,723530.0,606242.125,466595.75,614753.75,528888.0,nan,424978.09375,630295.75,224640.4375,336686.15625,305104.125,344960.3125,nan,188925.515625,427063.0,286380.625,224314.171875,269753.03125,218147.703125,239577.734375,194928.515625,247500.921875,206565.375,297120.0,380186.1875,329472.625,238015.46875,nan,352714.625,115730.0546875,10,5.1924200643958731e-06,0.0010650951657092034
227.16436113544952,211360.296875,273974.875,175245.375,371714.75,231681.125,334969.84375,257689.359375,219220.5625,183260.515625,nan,231344.890625,236066.78125,184330.15625,270037.125,308469.5,231309.734375,238227.921875,310279.09375,245139.265625,nan,230206.90625,275340.0,nan,186617.921875,192050.734375,186885.4375,nan,nan,207871.6875,nan,152603.1875,nan,nan,nan,nan,nan,nan,204574.375,207494.4375,211060.078125,nan,nan,185294.921875,nan,9,5.4541763077366814e-06,0.00099447814677732166
279.15923604951524,1826642.25,1891911.375,1539271.125,1781327.375,1302106.125,1616607.5,1697109.25,1666368.625,1144857.625,2294362.0,1444555.875,1906508.0,1629545.75,1740257.625,2488561.5,1432805.625,1346943.875,3430562.5,2662413.0,14828.96484375,1759559.875,2213399.5,2026755.625,1491051.25,1029689.25,1294955.625,nan,1122390.5,1198114.0,994032.3125,931715.1875,1142264.625,539306.125,738229.875,739966.625,1329323.25,1209032.25,1104965.25,1170057.625,1124775.375,1230026.375,nan,1020681.1875,323674.40625,9,1.1434780385235363e-05,0.0018764474612171229
