mz,MSS1a.mzML,MSS2a.mzML,MSS3a.mzML,MSS4a.mzML,MSS5a.mzML,MSS5a3.mzML,MSS5a2.mzML,MSS6a.mzML,MSS13a1.mzML,MSS13a2.mzML,MSS13a3.mzML,MSS13a.mzML,MSS10a.mzML,MSS11a.mzML,MSS11a3.mzML,MSS11a2.mzML,MSS11a1.mzML,MSS14a.mzML,MSS14a1.mzML,MSS14a2.mzML,MSS14a3.mzML,pval,qval
279.1592185207959,1826642.25,1891911.375,1539271.125,1781327.375,1302106.125,1666368.625,1697109.25,1144857.625,1444555.875,1906508.0,1629545.75,2294362.0,nan,1122390.5,931715.1875,994032.3125,1198114.0,1142264.625,539306.125,738229.875,739966.625,1.3078379932642248e-05,507492.0
149.0234943504555,6642520.0,16963478.0,4330655.5,3909807.25,2928803.75,1692467.25,1443382.25,2148806.0,2347711.25,1815030.375,1623774.75,3203075.25,461620.53125,826887.3125,679812.25,778966.0,975730.1875,1193073.0,527908.875,620519.0625,620949.625,1.496411682083496e-05,253746.0
462.14684396850777,577606.25,562545.4375,397891.78125,566813.6875,488332.625,469719.46875,584349.3125,471418.5,501602.0625,438428.0625,nan,nan,nan,nan,224314.171875,286380.625,427063.0,nan,166749.671875,239577.734375,194928.515625,2.0906473874571662e-05,169164.0
305.2517269564838,6520055.0,6167096.5,4211506.0,5928390.0,nan,5267949.5,6105551.5,4464430.5,5177081.5,5019098.0,4521845.0,2600243.0,1198175.25,1946670.0,2291635.25,3285852.5,4408195.5,2938153.75,1735656.0,2161888.25,2274917.75,4.6652921058857208e-05,126873.0
356.2798072220071,277944.53125,302907.78125,245076.71875,263808.65625,nan,315916.0625,363755.5625,230186.859375,328668.125,258796.078125,199246.171875,162570.9375,nan,143127.046875,161482.90625,171070.875,189219.59375,184991.515625,138716.421875,nan,112367.4765625,0.0001275758252266654,101498.4
304.2483071048627,35774972.0,34675808.0,23007250.0,33726448.0,nan,32059944.0,36146272.0,26581440.0,31967696.0,31051364.0,27159078.0,15346473.0,6190255.5,10402896.0,13659476.0,21449902.0,26780292.0,17893824.0,10737906.0,13579607.0,14269900.0,0.00014979528178510644,84582.0
280.1626387446628,337363.40625,391757.25,296922.21875,345838.40625,285173.96875,nan,324164.90625,250826.125,nan,408211.71875,nan,nan,nan,219218.171875,173308.75,203997.328125,232972.78125,241677.015625,125224.7265625,nan,nan,0.00048308317989616338,72498.85714285714
251.04681637314718,968627.875,1272848.75,1080517.25,465561.8125,315481.625,218942.328125,205943.328125,562840.8125,nan,396810.65625,490532.5625,581907.125,nan,168633.296875,171552.046875,192604.34375,179389.796875,287390.96875,nan,127078.171875,129770.65625,0.000484386498584414,63436.5
158.1541289437351,535256.4375,534311.75,390843.59375,464892.75,396622.78125,400541.65625,419313.09375,431166.78125,409156.71875,351206.90625,348727.96875,517827.40625,274354.9375,350020.40625,362720.8125,326189.4375,337738.40625,442700.8125,227757.703125,246203.03125,226408.328125,0.00052064654364398371,56388.0
387.1934229975046,1125273.5,1416616.75,527823.9375,886052.875,nan,402756.78125,463397.6875,990257.25,594877.0625,516554.34375,245658.4375,1024916.9375,251803.953125,599991.9375,169675.765625,145877.234375,122810.15625,800115.1875,118883.21875,156360.828125,149915.5,0.00069234725527422423,50749.2
