mz,MSS1a.mzML,MSS2a.mzML,MSS3a.mzML,MSS4a.mzML,MSS5a.mzML,MSS5a1.mzML,MSS5a2.mzML,MSS5a3.mzML,MSS6a.mzML,MSS13a.mzML,MSS13a1.mzML,MSS13a2.mzML,MSS13a3.mzML,MSS10a.mzML,MSS11a.mzML,MSS11a1.mzML,MSS11a2.mzML,MSS11a3.mzML,MSS14a.mzML,MSS14a1.mzML,MSS14a2.mzML,MSS14a3.mzML,n_blank,pval,qval
279.15923604951524,1826642.25,1891911.375,1539271.125,1781327.375,1302106.125,1616607.5,1697109.25,1666368.625,1144857.625,2294362.0,1444555.875,1906508.0,1629545.75,nan,1122390.5,1198114.0,994032.3125,931715.1875,1142264.625,539306.125,738229.875,739966.625,9,7.9205330673612557e-06,0.010748163372409225
330.33694013673687,308182.625,333131.84375,229202.21875,328971.15625,289085.6875,175371.5,214196.40625,180086.46875,338783.09375,115149.515625,174022.265625,166504.8125,110471.8125,nan,119431.7421875,126920.6640625,90422.96875,nan,131096.765625,nan,nan,nan,9,2.8616842802407845e-05,0.019416527841433724
210.1701664222672,430789.21875,462090.96875,244350.984375,366620.625,300844.59375,265394.75,233418.375,187528.234375,299717.4375,185580.8125,225634.09375,251479.21875,185896.265625,nan,140979.9375,161959.1875,136849.25,nan,223890.765625,nan,nan,nan,9,3.8643449984923708e-05,0.017479720543180491
145.12252690035726,3101006.0,3421458.25,2239217.75,3551142.0,2454832.75,3137741.25,3204612.75,3155911.75,nan,3908462.5,3227575.25,3582666.0,3538112.75,1539016.375,nan,nan,nan,nan,3510844.25,nan,nan,nan,8,5.7463388589092716e-05,0.019494454578849702
186.14906277482754,322918.25,329945.3125,210314.953125,305290.96875,nan,259035.828125,224460.84375,172521.59375,242503.28125,134754.5625,200820.0,155339.3125,172825.15625,nan,116517.609375,115354.3828125,nan,nan,143640.875,nan,nan,nan,9,9.3872181776303413e-05,0.025476910134088749
364.9641672708975,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,144701.625,111427.734375,167092.6875,286885.09375,nan,351802.03125,404760.5625,290158.8125,1,9.7513179762669431e-05,0.022054230822990403
327.0082160428099,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,425841.0,775241.6875,697751.3125,783821.0625,nan,nan,579997.0625,532045.75,10,0.00018336658889228695,0.035546923018119056
253.12025031387873,114566.2890625,112126.34375,401301.59375,136626.515625,nan,171455.515625,358620.25,304666.71875,137184.5625,139151.125,243240.5625,138060.4375,nan,323161.1875,590072.625,262889.3125,398223.75,491937.53125,196838.59375,653811.875,726047.5,659368.125,1,0.00019131121958012136,0.032451165621278089
130.52591989141283,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,168074.40625,164576.375,343523.15625,343969.09375,nan,nan,239982.359375,352786.6875,1,0.00034791563216109535,0.052457945871400707
158.15414111908302,535256.4375,534311.75,390843.59375,464892.75,396622.78125,417075.75,419313.09375,400541.65625,431166.78125,517827.40625,409156.71875,351206.90625,348727.96875,274354.9375,350020.40625,337738.40625,326189.4375,362720.8125,442700.8125,227757.703125,246203.03125,226408.328125,11,0.00046064710094750834,0.062509811598576881
