mz,MSS1b.mzML,MSS2b.mzML,MSS3b.mzML,MSS4b.mzML,MSS5b.mzML,MSS5b1.mzML,MSS5b2.mzML,MSS5b3.mzML,MSS6b.mzML,MSS13b.mzML,MSS13b1.mzML,MSS13b2.mzML,MSS13b3.mzML,MSS10b.mzML,MSS11b.mzML,MSS11b1.mzML,MSS11b2.mzML,MSS11b3.mzML,MSS14b.mzML,MSS14b1.mzML,MSS14b2.mzML,MSS14b3.mzML,n_blank,pval,qval
328.0816026655655,1375784.75,3529078.25,740912.125,879333.5,1826582.625,907917.5625,23798.005859375,549004.0625,1918819.375,1038083.375,229098.75,95236.25,379570.0,nan,nan,nan,nan,nan,280004.78125,nan,nan,nan,0,4.0345155951698638e-09,4.0304810795746935e-06
284.12135756014277,358350.125,865183.4375,439170.875,134999.5,170913.40625,156058.59375,nan,108184.40625,650619.9375,1427305.25,509133.59375,287434.25,853423.6875,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.1450658463779493e-09,2.0704603902657858e-06
283.1177664655883,2145259.25,5244698.0,2603698.5,770341.0,1031481.4375,932458.375,nan,559907.125,4656314.0,9339894.0,3469437.0,1763680.875,5730037.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.1489704277075612e-09,1.3816071524266178e-06
163.0391754265429,843252.25,2924491.5,2360604.5,nan,552737.0625,692576.625,nan,448205.25,2280752.0,8261932.0,1322555.25,759544.3125,2145939.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.6581795597107057e-06,0.00041413034503774872
349.0602078719774,274382.96875,445236.0,175114.515625,639476.625,189150.921875,470162.25,8528.0087890625,350285.78125,246790.171875,621469.75,133058.3125,70040.7265625,239094.578125,nan,103793.75,nan,nan,nan,261175.921875,nan,nan,nan,0,2.7271333712755086e-06,0.00054488124758084666
124.09703586735463,408137.59375,604120.9375,255145.15625,215036.765625,272873.40625,265085.9375,nan,181369.515625,265934.0,261440.9375,168333.703125,86973.1796875,192962.84375,nan,nan,nan,nan,nan,nan,nan,117982.046875,nan,9,3.5381210191758112e-06,0.00058909714969277262
327.0782204558983,7046240.0,19788730.0,3774149.0,4611427.5,9292460.0,4679614.5,32759.021484375,2762001.75,10412258.0,5244415.0,1283781.125,nan,1620470.375,nan,nan,nan,nan,nan,1217257.625,nan,nan,nan,0,3.8578433324499657e-06,0.00055056935558821653
104.10722962207709,212920.6875,659432.3125,277944.96875,462119.1875,191651.046875,306062.3125,4223.400390625,175376.40625,182759.640625,578011.0625,303808.125,156007.6875,357794.375,nan,nan,nan,nan,nan,201714.296875,nan,nan,1165546.75,4,6.0560869832433816e-06,0.00075625386203251722
207.06541002325974,936906.6875,2567199.0,1222909.25,nan,nan,468879.09375,nan,267088.15625,2030911.625,4970415.0,1725228.125,868557.3125,2869356.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.2462763940053924e-05,0.0047133667973459853
305.0996424997124,nan,299345.0625,123550.0234375,231869.234375,nan,242839.96875,nan,209334.8125,222567.859375,4004412.25,959190.8125,596718.625,2383728.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.3462082535512216e-05,0.0043418620452976703
283.17533952928585,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,187471.671875,276237.25,nan,nan,77746.484375,350101.46875,25561.87109375,1245024.125,nan,11,9.878773482559439e-05,0.0089717224627971631
245.0786011340925,96025.390625,375902.375,36653.2890625,334973.0,nan,263990.28125,nan,182563.5625,73762.453125,250333.59375,107970.1875,62508.140625,176476.1875,nan,nan,nan,nan,nan,nan,nan,nan,139219.96875,0,0.00013399279868775077,0.011154900490755251
168.1232402704431,395016.5,362149.8125,254814.40625,141489.828125,138231.921875,248472.359375,nan,87414.4921875,276370.3125,166989.15625,100515.9453125,nan,224593.5,nan,nan,nan,nan,nan,nan,nan,209655.859375,nan,8,0.00013501002245067234,0.010375000956017051
327.17593850563134,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,124359.6796875,nan,383926.96875,901649.3125,184355.296875,266468.15625,222968.140625,nan,nan,382029.40625,819501.5,2,0.00014067586186214279,0.010038227571448618
327.0082160428099,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,543459.5625,nan,629940.5625,526827.5,658431.3125,718363.5,570400.9375,nan,nan,553332.8125,184872.296875,10,0.00018002531319376286,0.011989685858704607
345.1080984823646,403569.15625,1070151.625,180901.0,222803.9375,525167.1875,246260.671875,nan,136218.40625,531646.9375,220348.53125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00036039926410990437,0.022502429052862153
208.0687948897043,130680.421875,340214.40625,136364.09375,nan,78511.4609375,nan,nan,nan,297496.40625,642525.375,271775.34375,112375.2421875,373341.125,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00036093557490660718,0.021210272901864741
152.94730577664998,592479.6875,492866.3125,615126.25,436495.71875,560440.5,548536.5625,nan,286834.59375,1270124.5,nan,246066.703125,nan,194486.46875,nan,nan,nan,nan,nan,74267.2109375,nan,nan,nan,3,0.00084846920015057517,0.04709004060835692
124.12040172235469,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102913.96875,nan,80291.875,90152.3828125,105144.390625,138074.125,nan,nan,nan,5,0.0010147111435489286,0.053352443810809454
520.1394045526376,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27148.751953125,nan,68201.78125,70028.7890625,85215.9453125,nan,nan,71547.703125,nan,6,0.001017401802053798,0.050819220012587207
404.2200098980612,1966230.625,2129543.5,843102.625,801741.6875,1955019.125,948513.0,8885.62109375,238239.390625,1912702.0,518541.3125,661504.0,188906.078125,411236.46875,1317404.375,nan,nan,nan,266714.15625,547215.6875,nan,nan,331695.21875,7,0.0010319674698283715,0.049092166778978243
191.03900735404343,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,498772.9375,nan,255270.109375,168470.03125,320514.3125,nan,5303590.0,nan,1,0.0010391978542560359,0.047189029836444532
262.27424466107,89060.890625,83954.234375,77941.3671875,36169.5859375,69672.203125,40373.015625,nan,59638.3515625,72851.140625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4,0.0017181761252996273,0.07462860648584034
379.2522057595379,148136.78125,185940.5625,143568.734375,303051.21875,142805.84375,42891.74609375,nan,nan,134556.328125,nan,nan,50318.57421875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7,0.0017275283025675067,0.07190836559437247
300.14440977232005,nan,3363364.0,1741856.0,nan,634580.0625,nan,nan,293462.6875,2605451.5,4360649.0,1667518.25,808460.375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0017355558866825195,0.069352813231833468
365.03415057091297,nan,1156882.0,531918.0,590217.8125,266385.15625,270387.75,4760.05078125,nan,338357.25,940294.6875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0018012331977382999,0.069208921713098531
207.15929725197702,nan,nan,nan,525269.125,570985.375,nan,nan,nan,nan,nan,nan,nan,nan,574706.375,473978.5625,281004.21875,285374.8125,303228.5625,588057.9375,nan,247447.65625,nan,10,0.0021226170658202367,0.078536831435348758
